date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,30.2363,15,2.0157,47.6162,0,101,11.8812,13,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,10
2018-06-01,17.345,8,2.1681,51.2155,0,101,3.9604,8,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,9
2018-06-02,30.6517,15,2.0434,48.2704,0,116,9.4828,12,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,9
2018-06-03,73.6743,27,2.7287,64.4569,0,199,7.5377,20,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,25
2018-06-04,93.6727,37,2.5317,59.8038,1,295,8.1356,32,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,2,36
2018-06-05,119.4805,49,2.4384,57.5995,0,308,9.0909,43,0.0,0.0,0.0,0.0,0,,,0,1,0,1,0,0,0,0,0,50
2018-06-06,101.4336,38,2.6693,63.0544,0,226,7.5221,30,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,49
2018-06-07,80.017,29,2.7592,65.1781,0,273,7.326,28,0.0,0.0,0.0,0.0,0,,,0,0,0,1,0,0,0,0,0,19
2018-06-08,78.1638,34,2.2989,54.3055,0,322,4.9689,29,0.0,0.0,0.0,0.0,0,,,0,2,0,1,0,0,0,0,2,41
2018-06-09,63.7576,28,2.2771,53.7888,0,233,6.867,27,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,20
2018-06-10,58.1879,24,2.4245,57.2716,0,230,7.3913,22,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,24
2018-06-11,17.2921,8,2.1615,51.0594,0,118,3.3898,7,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,6
2018-06-12,14.8846,10,1.4885,35.1606,0,108,5.5556,9,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,6
2018-06-13,44.3377,20,2.2169,52.3673,0,142,6.338,18,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,10
2018-06-14,81.4674,30,2.7156,64.1476,0,236,7.2034,29,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,19
2018-06-15,121.0416,45,2.6898,63.5389,0,394,6.0914,39,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,42
2018-06-16,131.8966,54,2.4425,57.6975,0,468,6.8376,51,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,43
2018-06-17,116.9614,50,2.3392,55.2574,0,510,6.8627,48,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,56
2018-06-18,116.317,43,2.705,63.8987,0,448,6.6964,40,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,53
2018-06-19,85.5825,35,2.4452,57.761,0,326,6.7485,29,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,30
2018-06-20,52.6504,18,2.925,69.0951,0,226,5.7522,14,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,22
2018-06-21,42.4872,17,2.4993,59.0374,0,216,6.0185,15,0.011,0.011,0.019,0.011,7,2.714,3.167,6,1,0,0,0,0,0,0,0,10
2018-06-22,24.3887,12,2.0324,48.0093,0,196,4.0816,10,0.003,0.003,0.005,0.003,8,0.625,0.714,7,0,0,0,0,0,0,0,0,8
2018-06-23,23.3722,16,1.4608,34.5062,0,166,6.6265,15,0.002,0.002,0.004,0.002,9,0.444,0.571,7,0,0,0,0,0,0,0,0,5
2018-06-24,27.6685,12,2.3057,54.4655,0,195,3.5897,12,0.005,0.005,0.009,0.005,5,1.8,1.8,5,0,0,0,0,0,0,0,0,9
2018-06-25,22.6948,10,2.2695,53.6098,0,187,3.2086,8,0.002,0.002,0.004,0.002,6,0.667,1.333,3,0,0,0,0,0,0,0,0,9
2018-06-26,24.2793,8,3.0349,71.6909,0,114,2.6316,7,0.003,0.003,0.006,0.003,6,1.0,1.5,4,0,0,0,0,0,0,0,0,9
2018-06-27,33.8005,15,2.2534,53.2292,1,107,5.6075,14,0.001,0.001,0.002,0.001,11,0.182,0.222,9,1,0,0,0,0,0,0,0,5
2018-06-28,16.6687,6,2.7781,65.6247,1,89,4.4944,6,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,8
2018-06-29,14.25,4,3.5625,84.1538,0,74,2.7027,4,0.003,0.003,0.005,0.003,6,0.833,1.0,5,0,0,0,0,0,0,0,1,7
2018-06-30,9.8591,9,1.0955,25.877,0,118,4.2373,6,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,4
2018-07-01,13.4821,10,1.3482,31.8474,1,105,6.6667,10,0.001,0.001,0.001,0.001,4,0.25,0.5,2,0,0,0,0,0,0,0,0,4
2018-07-02,12.2785,5,2.4557,58.0089,0,95,3.1579,5,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,6
2018-07-03,20.9347,4,5.2337,123.6299,0,78,2.5641,4,0.01,0.01,0.019,0.01,6,3.167,3.167,6,1,0,0,0,0,0,0,0,14
2018-07-04,54.1499,23,2.3543,55.6144,0,164,9.1463,18,0.005,0.005,0.009,0.005,15,0.6,0.818,11,0,0,1,0,0,0,0,1,16
2018-07-05,42.7706,13,3.29,77.7176,0,98,4.0816,13,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,20
2018-07-06,16.4267,7,2.3467,55.4332,0,95,6.3158,6,0.003,0.003,0.005,0.003,5,1.0,1.25,4,0,0,0,0,0,0,0,0,9
2018-07-07,11.6669,10,1.1667,27.5596,0,100,9.0,7,0.003,0.003,0.006,0.003,4,1.5,1.5,4,0,0,0,0,0,0,0,0,3
2018-07-08,3.3266,4,0.8317,19.6456,0,92,2.1739,3,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-07-09,29.7636,11,2.7058,63.916,0,174,3.4483,11,0.004,0.004,0.008,0.004,8,1.0,1.143,7,0,0,0,0,0,0,0,0,8
2018-07-10,89.9648,36,2.499,59.032,0,257,7.7821,34,0.01,0.01,0.017,0.01,22,0.773,1.133,15,1,0,0,0,0,0,0,0,44
2018-07-11,235.9554,85,2.7759,65.5735,0,529,7.9395,73,0.021,0.021,0.039,0.021,60,0.65,0.886,44,2,0,2,0,0,0,0,1,66
2018-07-12,210.7869,92,2.2912,54.1219,0,711,8.0169,83,0.031,0.031,0.056,0.031,52,1.077,1.4,40,2,0,1,0,0,0,0,0,66
2018-07-13,140.1421,55,2.548,60.1899,0,390,7.1795,48,0.008,0.008,0.015,0.008,36,0.417,0.536,28,2,0,0,0,0,0,0,0,58
2018-07-14,96.8579,37,2.6178,61.8373,1,268,9.3284,36,0.013,0.013,0.024,0.013,23,1.043,1.5,16,0,1,1,0,0,0,0,0,26
2018-07-15,52.3645,22,2.3802,56.2253,0,135,8.1481,20,0.004,0.004,0.007,0.004,9,0.778,1.167,6,0,0,0,0,0,0,0,0,15
2018-07-16,20.6639,13,1.5895,37.548,0,135,2.963,12,0.001,0.001,0.003,0.001,6,0.5,0.6,5,1,0,0,0,0,0,0,0,7
2018-07-17,27.485,8,3.4356,81.1564,0,110,4.5455,8,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,14
2018-07-18,25.995,11,2.3632,55.8232,0,115,5.2174,10,0.002,0.002,0.003,0.002,5,0.6,1.0,3,0,0,0,0,0,0,0,0,13
2018-07-19,23.7806,8,2.9726,70.2184,0,93,3.2258,8,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,10
2018-07-20,11.5277,5,2.3055,54.4617,0,70,4.2857,5,0.001,0.001,0.002,0.001,7,0.286,0.5,4,0,0,0,0,0,0,0,0,6
2018-07-21,22.0649,7,3.1521,74.4596,0,71,2.8169,6,0.001,0.001,0.002,0.001,4,0.5,0.5,4,0,0,0,0,0,0,0,0,7
2018-07-22,19.9548,8,2.4943,58.9215,0,86,5.814,7,0.003,0.003,0.005,0.003,4,1.25,1.0,5,0,0,0,0,0,0,0,0,10
2018-07-23,10.6259,6,1.771,41.8344,0,98,3.0612,5,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,7
2018-07-24,27.4722,9,3.0525,72.1055,0,103,5.8252,9,0.003,0.003,0.006,0.003,12,0.5,0.667,9,0,0,0,0,0,0,0,0,3
2018-07-25,15.8696,8,1.9837,46.8589,0,116,4.3103,8,0.004,0.004,0.007,0.004,4,1.75,1.75,4,1,0,0,0,0,0,0,0,6
2018-07-26,17.6549,8,2.2069,52.1305,0,80,5.0,7,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,9
2018-07-27,21.2249,8,2.6531,62.6719,0,91,1.0989,6,0.009,0.009,0.016,0.009,7,2.286,3.2,5,0,0,0,0,0,0,0,0,8
2018-07-28,18.8748,6,3.1458,74.3102,1,68,4.4118,6,0.003,0.003,0.005,0.003,4,1.25,1.25,4,1,0,0,0,0,0,0,0,1
2018-07-29,8.4055,5,1.6811,39.711,0,66,7.5758,4,0.001,0.001,0.002,0.001,4,0.5,0.5,4,0,0,0,0,0,0,0,0,4
2018-07-30,18.5414,8,2.3177,54.7482,0,78,7.6923,7,0.006,0.006,0.01,0.006,5,2.0,2.0,5,0,0,0,0,0,0,0,0,7
2018-07-31,28.1769,9,3.1308,73.955,0,114,5.2632,9,0.002,0.002,0.004,0.002,6,0.667,1.0,4,0,0,0,0,0,0,0,0,12
2018-08-01,30.1853,13,2.322,54.8492,0,160,4.375,13,0.003,0.003,0.005,0.003,13,0.385,0.625,8,0,0,0,0,0,0,0,0,7
2018-08-02,66.9748,27,2.4806,58.5956,0,216,7.4074,25,0.007,0.007,0.013,0.007,14,0.929,1.083,12,0,0,0,0,0,0,0,0,26
2018-08-03,44.2382,22,2.0108,47.4998,2,186,4.8387,18,0.017,0.017,0.031,0.017,17,1.824,2.385,13,1,0,0,0,0,0,0,0,24
