date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,346.1403,92,3.7624,25.251,0,847,8.0283,83,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,2,33
2018-06-01,288.5589,76,3.7968,25.4821,2,689,6.9666,64,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,17
2018-06-02,264.2859,60,4.4048,29.5622,0,578,6.7474,51,0.0,0.0,0.0,0.0,0,,,0,2,0,1,0,0,0,0,0,17
2018-06-03,491.9808,101,4.8711,32.6919,0,722,8.1717,84,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,28
2018-06-04,314.4857,72,4.3679,29.3145,0,578,6.9204,62,0.0,0.0,0.0,0.0,0,,,0,0,0,1,0,0,0,0,0,6
2018-06-05,327.8722,71,4.6179,30.9927,1,600,5.6667,63,0.0,0.0,0.0,0.0,0,,,0,2,0,1,0,0,0,0,0,27
2018-06-06,295.7239,73,4.051,27.188,0,534,8.8015,65,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,26
2018-06-07,375.5761,77,4.8776,32.7357,1,614,7.1661,65,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,21
2018-06-08,273.4352,64,4.2724,28.674,0,502,6.7729,53,0.0,0.0,0.0,0.0,0,,,0,5,0,0,0,0,0,0,0,32
2018-06-09,346.0769,66,5.2436,35.1919,0,535,7.6636,59,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,21
2018-06-10,385.555,82,4.7019,31.5563,1,667,8.3958,71,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,41
2018-06-11,331.912,80,4.1489,27.845,0,547,9.5064,71,0.0,0.0,0.0,0.0,0,,,0,3,1,1,0,0,0,0,0,25
2018-06-12,321.4128,63,5.1018,34.2402,3,554,5.7762,57,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,30
2018-06-13,428.2039,89,4.8113,32.2905,1,632,9.3354,77,0.0,0.0,0.0,0.0,0,,,0,2,0,2,0,0,0,0,0,28
2018-06-14,335.6703,77,4.3594,29.2574,1,659,8.0425,67,0.0,0.0,0.0,0.0,0,,,0,3,0,0,0,0,0,0,0,30
2018-06-15,215.3482,53,4.0632,27.2696,2,629,5.0874,42,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,24
2018-06-16,221.2056,60,3.6868,24.7434,0,617,6.6451,54,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,7
2018-06-17,276.6381,61,4.5351,30.4366,0,518,7.722,53,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,14
2018-06-18,297.13,52,5.714,38.3493,0,561,5.5258,49,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,41
2018-06-19,594.7994,109,5.4569,36.6233,0,981,7.9511,86,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,55
2018-06-20,588.886,128,4.6007,30.877,1,1029,8.3576,99,0.0,0.0,0.0,0.0,0,,,0,4,0,0,0,0,0,0,0,60
