date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,40.1548,19,2.1134,44.8073,0,377,3.7135,18,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-01,73.3541,28,2.6198,55.5432,0,404,4.2079,25,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-02,49.6953,23,2.1607,45.8092,0,370,4.8649,23,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-03,63.0868,39,1.6176,34.2957,0,429,6.2937,36,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-04,43.6649,17,2.5685,54.4563,0,415,3.1325,15,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-05,56.2508,29,1.9397,41.124,0,391,3.5806,27,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-06,89.4931,45,1.9887,42.164,0,352,7.3864,40,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-07,68.1197,36,1.8922,40.1176,0,494,5.2632,32,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-08,43.5714,24,1.8155,38.4907,0,354,5.0847,23,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-09,37.7508,19,1.9869,42.1248,0,399,3.5088,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-10,129.9998,47,2.7659,58.6421,0,548,6.0219,44,0.0,0.0,0.0,0.0,0,,,0,3,0,0,0,0,0,0,0,0
2018-06-11,75.3842,34,2.2172,47.0074,0,508,4.3307,32,0.0,0.0,0.0,0.0,0,,,0,0,0,1,0,0,0,0,0,0
2018-06-12,75.0534,32,2.3454,49.7262,0,466,3.8627,28,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-13,94.0084,43,2.1863,46.3514,0,581,5.5077,37,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-14,92.0292,46,2.0006,42.4163,0,481,7.4844,43,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-15,51.5195,30,1.7173,36.4095,0,490,4.6939,27,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-16,82.3781,41,2.0092,42.5983,0,528,6.0606,39,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,0
2018-06-17,65.0768,38,1.7126,36.3084,0,519,4.0462,33,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-18,74.6279,45,1.6584,35.1604,0,538,5.5762,38,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-19,73.2677,36,2.0352,43.1494,0,422,5.6872,32,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-20,46.0824,20,2.3041,48.8506,0,369,2.981,18,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-21,34.1275,20,1.7064,36.1776,0,312,3.8462,17,0.01,0.01,0.017,0.01,14,1.214,1.545,11,0,0,0,0,0,0,0,0,0
2018-06-22,33.0468,18,1.8359,38.9244,0,291,5.8419,17,0.007,0.007,0.012,0.007,5,2.4,2.4,5,0,0,0,0,0,0,0,0,0
2018-06-23,70.5186,29,2.4317,51.555,0,336,5.0595,25,0.006,0.006,0.011,0.006,12,0.917,1.0,11,0,0,0,0,0,0,0,0,0
2018-06-24,79.7823,36,2.2162,46.986,0,407,6.6339,35,0.015,0.015,0.027,0.015,23,1.174,1.286,21,0,0,0,0,0,0,0,0,0
2018-06-25,61.3695,29,2.1162,44.8662,0,249,6.4257,28,0.037,0.037,0.067,0.037,32,2.094,2.913,23,0,0,0,0,0,0,0,0,0
2018-06-26,34.5544,19,1.8187,38.558,0,244,4.5082,17,0.035,0.035,0.064,0.035,17,3.765,5.818,11,0,0,0,0,0,0,0,0,0
2018-06-27,41.8143,25,1.6726,35.4609,0,207,6.2802,21,0.008,0.008,0.015,0.008,17,0.882,1.071,14,1,0,0,0,0,0,0,0,0
2018-06-28,31.6408,18,1.7578,37.2683,0,251,3.9841,17,0.009,0.009,0.017,0.009,18,0.944,1.0,17,0,0,0,0,0,0,0,0,0
2018-06-29,62.7594,24,2.615,55.4411,0,191,8.377,23,0.033,0.033,0.06,0.033,24,2.5,3.0,20,0,0,0,0,0,0,0,0,0
2018-06-30,45.2862,25,1.8115,38.4052,0,242,8.2645,24,0.004,0.004,0.008,0.004,19,0.421,0.571,14,0,0,0,0,0,0,0,0,0
2018-07-01,72.109,30,2.4036,50.9604,0,342,5.848,27,0.004,0.004,0.007,0.004,20,0.35,0.583,12,1,0,0,0,0,0,0,0,0
2018-07-02,29.7076,19,1.5635,33.1496,0,249,4.4177,17,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-07-03,86.3287,33,2.616,55.4634,0,261,6.8966,33,0.018,0.018,0.032,0.018,31,1.032,1.391,23,0,0,0,0,0,0,0,0,0
2018-07-04,57.202,29,1.9725,41.8194,0,261,6.8966,27,0.028,0.028,0.05,0.028,20,2.5,2.941,17,0,0,0,0,0,0,0,0,0
2018-07-05,33.3726,20,1.6686,35.3773,0,369,4.065,17,0.004,0.004,0.007,0.004,12,0.583,0.778,9,0,0,0,0,0,0,0,0,0
2018-07-06,69.6446,29,2.4015,50.916,0,261,6.5134,26,0.029,0.029,0.053,0.029,23,2.304,4.417,12,0,0,1,0,0,0,0,0,0
2018-07-07,107.2036,58,1.8483,39.1874,1,348,9.4828,51,0.01,0.01,0.018,0.01,29,0.621,0.72,25,1,0,0,0,0,0,0,0,0
2018-07-08,115.2671,53,2.1749,46.1099,0,541,6.0998,49,0.011,0.011,0.021,0.011,36,0.583,0.955,22,1,0,0,0,0,0,0,0,0
2018-07-09,86.3062,53,1.6284,34.5248,1,542,6.8266,44,0.021,0.021,0.037,0.021,39,0.949,1.609,23,0,1,0,0,0,0,0,0,0
2018-07-10,61.9686,30,2.0656,43.7941,0,333,5.7057,29,0.022,0.022,0.041,0.022,36,1.139,1.708,24,0,0,0,0,0,0,0,0,0
2018-07-11,106.0536,42,2.5251,53.5354,0,392,8.4184,40,0.017,0.017,0.031,0.017,37,0.838,0.969,32,0,0,0,0,0,0,0,0,0
2018-07-12,40.7933,22,1.8542,39.3125,0,421,3.3254,22,0.005,0.005,0.009,0.005,27,0.333,0.474,19,0,0,1,0,0,0,0,0,0
2018-07-13,120.4119,52,2.3156,49.0943,0,448,7.1429,50,0.021,0.021,0.039,0.021,36,1.083,1.258,31,1,0,0,0,0,0,0,0,0
2018-07-14,95.2512,41,2.3232,49.2551,0,351,7.9772,36,0.011,0.011,0.02,0.011,32,0.625,0.952,21,0,1,1,0,0,0,0,0,0
2018-07-15,97.252,43,2.2617,47.9507,0,372,7.5269,38,0.013,0.013,0.024,0.013,20,1.2,1.412,17,0,0,0,0,0,0,0,0,0
2018-07-16,72.9044,43,1.6955,35.9459,1,326,9.2025,40,0.017,0.017,0.032,0.017,38,0.842,1.143,28,0,0,1,0,0,0,0,0,0
2018-07-17,82.2669,31,2.6538,56.2637,0,291,5.4983,30,0.012,0.012,0.021,0.012,24,0.875,1.167,18,1,0,0,0,0,0,0,0,0
2018-07-18,76.6493,31,2.4726,52.4217,0,371,6.1995,30,0.006,0.006,0.011,0.006,29,0.379,0.647,17,0,1,0,0,0,0,0,0,0
2018-07-19,103.2813,49,2.1078,44.6879,0,317,8.2019,45,0.018,0.018,0.033,0.018,43,0.767,0.943,35,1,1,0,0,0,0,0,0,0
