date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,603.1171,169,3.5687,39.3611,1,1532,8.4204,147,0.0,0.0,0.0,0.0,0,,,0,6,0,0,0,4,2,89,0,0
2018-06-01,623.1478,159,3.9192,43.2261,2,1346,7.5037,142,0.0,0.0,0.0,0.0,0,,,0,4,0,0,3,6,3,88,0,0
2018-06-02,714.9246,184,3.8855,42.8543,1,1346,9.1382,159,0.0,0.0,0.0,0.0,0,,,0,2,0,0,2,10,6,111,0,0
2018-06-03,581.7397,162,3.591,39.6065,2,1548,6.7183,140,0.0,0.0,0.0,0.0,0,,,0,4,0,1,0,2,1,69,0,0
2018-06-04,519.1997,150,3.4613,38.1764,1,1301,7.3789,129,0.0,0.0,0.0,0.0,0,,,0,6,0,0,1,2,1,66,0,0
2018-06-05,676.5942,157,4.3095,47.5314,2,1211,8.8357,142,0.0,0.0,0.0,0.0,0,,,0,6,1,0,1,2,1,99,0,0
2018-06-06,581.4974,161,3.6118,39.8359,1,1329,8.4274,142,0.0,0.0,0.0,0.0,0,,,0,1,0,1,1,6,3,92,0,0
2018-06-07,612.332,168,3.6448,40.2004,5,1581,7.0209,150,0.0,0.0,0.0,0.0,0,,,0,9,0,3,0,0,0,82,0,0
2018-06-08,467.7409,137,3.4142,37.6563,0,1226,6.8515,113,0.0,0.0,0.0,0.0,0,,,0,2,2,1,2,4,3,61,0,0
2018-06-09,681.9223,166,4.108,45.3084,3,1362,8.37,149,0.0,0.0,0.0,0.0,0,,,0,8,0,2,1,2,1,85,0,0
2018-06-10,823.2092,208,3.9577,43.6515,0,1718,8.2072,182,0.0,0.0,0.0,0.0,0,,,0,7,0,1,1,6,2,129,0,0
2018-06-11,780.9644,194,4.0256,44.3999,0,1533,8.6758,173,0.0,0.0,0.0,0.0,0,,,0,7,0,1,2,4,3,126,0,0
2018-06-12,557.5842,160,3.4849,38.4364,1,1533,7.8278,139,0.0,0.0,0.0,0.0,0,,,0,4,0,0,0,0,0,77,0,0
2018-06-13,678.9856,176,3.8579,42.5501,1,1621,7.4028,158,0.0,0.0,0.0,0.0,0,,,0,1,1,1,0,0,0,85,0,0
2018-06-14,659.6928,192,3.4359,37.896,2,1640,8.2317,166,0.0,0.0,0.0,0.0,0,,,0,3,0,1,0,2,3,95,0,0
2018-06-15,681.9036,178,3.8309,42.2528,0,1453,7.8458,154,0.0,0.0,0.0,0.0,0,,,0,6,1,0,0,0,0,94,0,0
2018-06-16,719.0155,178,4.0394,44.5523,3,1338,8.2212,157,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,2,2,88,0,0
2018-06-17,766.0765,195,3.9286,43.3301,2,1215,10.6173,163,0.0,0.0,0.0,0.0,0,,,0,4,0,1,4,8,4,98,0,0
2018-06-18,774.7174,188,4.1208,45.4504,1,1587,8.2546,169,0.0,0.0,0.0,0.0,0,,,0,5,0,2,1,4,1,89,0,0
2018-06-19,602.0336,189,3.1854,35.1327,1,1599,8.6304,159,0.0,0.0,0.0,0.0,0,,,0,4,0,0,1,4,2,93,0,0
2018-06-20,684.4293,191,3.5834,39.5228,2,1731,8.2611,165,0.0,0.0,0.0,0.0,0,,,0,5,1,1,0,2,1,94,0,0
2018-06-21,639.9283,161,3.9747,43.8387,1,1384,8.3815,139,0.098,0.098,0.178,0.098,100,1.78,2.312,77,8,0,0,0,6,3,91,0,0
2018-06-22,427.464,124,3.4473,38.0216,0,1256,6.6083,108,0.047,0.047,0.086,0.047,83,1.036,1.387,62,0,1,0,0,4,2,53,0,0
2018-06-23,525.1153,141,3.7242,41.076,1,1181,8.8061,123,0.057,0.057,0.104,0.057,124,0.839,1.13,92,3,0,0,2,4,2,68,0,0
2018-06-24,488.9073,133,3.676,40.5441,0,1188,6.9865,121,0.065,0.065,0.119,0.065,121,0.983,1.451,82,3,0,1,0,0,0,52,0,0
2018-06-25,566.5129,155,3.6549,40.3116,2,1163,8.5125,137,0.092,0.092,0.168,0.092,98,1.714,2.1,80,4,0,0,1,2,1,78,0,0
2018-06-26,723.0643,166,4.3558,48.042,1,971,11.4315,151,0.247,0.247,0.448,0.247,142,3.155,4.187,107,3,1,0,0,0,0,97,0,0
2018-06-27,479.4335,124,3.8664,42.6441,2,1076,8.2714,107,0.079,0.079,0.144,0.079,101,1.426,1.694,85,3,0,0,0,0,0,62,0,0
2018-06-28,590.6573,132,4.4747,49.3531,2,995,8.9447,123,0.113,0.113,0.205,0.113,129,1.589,2.253,91,3,0,0,0,4,2,82,0,0
2018-06-29,493.1643,124,3.9771,43.8654,2,1107,7.2267,115,0.129,0.129,0.234,0.129,107,2.187,3.0,78,2,1,3,1,2,1,73,0,0
2018-06-30,539.6627,142,3.8004,41.9166,1,1184,8.3615,130,0.085,0.085,0.154,0.085,138,1.116,1.413,109,4,0,1,2,4,2,77,0,0
2018-07-01,677.8331,161,4.2102,46.4354,4,1182,9.3909,137,0.104,0.104,0.189,0.104,107,1.766,2.392,79,3,0,0,1,4,2,92,0,0
2018-07-02,539.5059,135,3.9963,44.0773,4,1263,7.601,125,0.03,0.03,0.055,0.03,104,0.529,0.696,79,3,0,0,0,0,0,72,0,0
2018-07-03,625.9546,127,4.9288,54.3615,2,1401,5.853,113,0.047,0.047,0.085,0.047,118,0.72,1.049,81,3,0,0,1,2,2,94,0,0
2018-07-04,494.1176,137,3.6067,39.7798,0,1381,6.3722,122,0.123,0.123,0.223,0.123,98,2.276,3.014,74,4,0,1,0,4,1,69,0,0
2018-07-05,502.0518,140,3.5861,39.5524,2,1390,6.9065,127,0.028,0.028,0.05,0.028,79,0.633,0.82,61,2,0,0,0,4,2,63,0,0
2018-07-06,534.7901,136,3.9323,43.3707,1,1223,8.2584,123,0.038,0.038,0.069,0.038,76,0.908,1.38,50,4,0,0,2,4,2,70,0,0
2018-07-07,497.628,136,3.659,40.3569,1,1247,7.2975,125,0.042,0.042,0.076,0.039,92,0.826,1.188,64,4,0,1,2,4,1,57,0,0
2018-07-08,526.2957,146,3.6048,39.7584,0,1352,7.8402,130,0.051,0.051,0.093,0.051,97,0.959,1.5,62,4,0,1,0,0,0,72,0,0
2018-07-09,666.0928,160,4.1631,45.9163,3,1347,8.5375,149,0.164,0.164,0.298,0.164,136,2.191,3.104,96,9,0,1,0,6,2,92,0,0
2018-07-10,656.9778,162,4.0554,44.7289,2,1552,7.2809,145,0.077,0.077,0.139,0.077,115,1.209,1.616,86,4,0,0,1,4,1,93,0,0
2018-07-11,615.6059,149,4.1316,45.5689,1,1420,7.5352,138,0.042,0.042,0.075,0.042,120,0.625,0.833,90,7,0,1,1,4,2,92,0,0
2018-07-12,609.6573,136,4.4828,49.4424,1,1487,6.0525,132,0.069,0.069,0.126,0.069,95,1.326,1.658,76,4,1,2,0,2,1,90,0,0
2018-07-13,691.4687,159,4.3489,47.9654,2,1311,7.704,145,0.186,0.186,0.337,0.186,125,2.696,3.787,89,3,0,1,0,2,1,97,0,0
2018-07-14,474.7868,121,3.9239,43.2778,1,1113,7.4573,107,0.027,0.027,0.048,0.027,97,0.495,0.774,62,3,0,1,0,0,0,74,0,0
2018-07-15,560.0331,151,3.7088,40.9062,2,1257,7.8759,137,0.149,0.149,0.271,0.149,116,2.336,2.794,97,7,0,1,0,2,1,85,0,0
2018-07-16,582.0886,149,3.9066,43.0879,2,1508,7.0955,132,0.073,0.073,0.133,0.073,149,0.893,1.4,95,4,0,0,1,2,3,91,0,0
2018-07-17,530.1935,141,3.7602,41.4732,0,1271,7.0024,122,0.048,0.048,0.088,0.048,110,0.8,1.158,76,5,0,1,0,6,2,81,0,0
2018-07-18,557.2846,133,4.1901,46.2144,1,1270,7.4803,116,0.035,0.035,0.064,0.035,123,0.52,0.78,82,3,0,0,0,4,2,84,0,0
2018-07-19,622.9635,149,4.181,46.1136,1,1068,10.206,135,0.095,0.095,0.173,0.095,108,1.602,1.966,88,5,0,1,2,4,2,92,0,0
2018-07-20,492.2081,128,3.8454,42.4122,3,1071,8.31,114,0.053,0.053,0.097,0.053,112,0.866,1.276,76,4,0,0,0,0,0,69,0,0
2018-07-21,476.8748,124,3.8458,42.4165,3,964,8.8174,113,0.061,0.061,0.111,0.061,63,1.762,1.82,61,2,0,1,2,6,3,68,0,0
2018-07-22,690.561,168,4.1105,45.3362,0,1129,10.5403,148,0.067,0.067,0.121,0.067,111,1.09,1.571,77,7,0,0,1,4,2,103,0,0
2018-07-23,636.8004,152,4.1895,46.2075,2,1282,8.6583,138,0.067,0.067,0.122,0.067,124,0.984,1.312,93,4,0,0,0,2,1,98,0,0
2018-07-24,654.2135,169,3.8711,42.6958,3,1366,9.8829,154,0.078,0.078,0.142,0.078,122,1.164,1.42,100,5,0,3,1,4,2,104,0,0
2018-07-25,749.5923,180,4.1644,45.9309,1,1285,10.2724,151,0.111,0.111,0.202,0.111,174,1.161,1.403,144,6,0,0,1,2,1,116,0,0
2018-07-26,491.3675,118,4.1641,45.9279,0,1176,6.6327,106,0.071,0.071,0.128,0.071,103,1.243,1.707,75,3,0,0,0,0,0,71,0,0
2018-07-27,464.4737,128,3.6287,40.0224,2,967,9.514,116,0.16,0.16,0.29,0.16,92,3.152,3.816,76,2,1,0,1,4,1,63,0,0
2018-07-28,593.5991,147,4.0381,44.5377,2,1101,8.9918,136,0.096,0.096,0.175,0.096,102,1.716,1.966,89,2,0,0,1,4,3,78,0,0
2018-07-29,580.8005,154,3.7714,41.5967,3,1006,10.2386,136,0.076,0.076,0.138,0.076,104,1.327,1.816,76,3,0,1,0,0,0,75,0,0
2018-07-30,616.4989,160,3.8531,42.4976,1,1235,8.7449,146,0.172,0.172,0.313,0.172,123,2.545,3.295,95,5,0,1,1,4,1,88,0,0
2018-07-31,547.2034,145,3.7738,41.623,1,1145,9.083,126,0.062,0.062,0.113,0.062,120,0.942,1.256,90,4,0,1,1,4,2,87,0,0
2018-08-01,508.7591,125,4.0701,44.8905,0,1028,8.3658,115,0.06,0.06,0.108,0.06,113,0.956,1.403,77,3,0,3,0,0,0,77,0,0
2018-08-02,632.9338,139,4.5535,50.2222,2,1138,9.4025,126,0.09,0.09,0.164,0.09,100,1.64,1.976,83,11,0,1,0,0,0,90,0,0
2018-08-03,551.3267,139,3.9664,43.7468,1,1015,7.9803,122,0.098,0.098,0.178,0.098,94,1.894,2.507,71,6,0,0,2,4,3,80,0,0
2018-08-04,508.7446,130,3.9134,43.1627,1,1007,8.9374,111,0.142,0.142,0.258,0.142,78,3.308,3.851,67,4,0,2,1,2,2,58,0,0
2018-08-05,597.9596,158,3.7846,41.7414,0,1152,9.9826,140,0.115,0.115,0.208,0.115,136,1.529,1.926,108,5,0,0,0,0,0,86,0,0
2018-08-06,701.3428,183,3.8325,42.2699,3,1040,11.7308,159,0.263,0.263,0.478,0.263,142,3.366,4.268,112,6,0,2,2,10,4,99,0,0
2018-08-07,602.0061,158,3.8102,42.0239,2,1102,9.3466,142,0.067,0.067,0.122,0.067,127,0.961,1.109,110,4,0,1,0,2,2,83,0,0
2018-08-08,557.93,138,4.043,44.5916,2,1054,8.8235,127,0.041,0.041,0.074,0.041,114,0.649,0.892,83,9,0,3,1,4,3,75,0,0
2018-08-09,499.4346,134,3.7271,41.108,2,1103,8.4316,115,0.074,0.074,0.134,0.074,104,1.288,1.634,82,4,0,0,0,0,0,67,0,0
2018-08-10,393.3208,122,3.2239,35.5582,1,939,8.3067,99,0.089,0.089,0.162,0.089,77,2.104,2.571,63,4,0,0,1,2,1,56,0,0
2018-08-11,447.2208,116,3.8554,42.5223,1,960,8.5417,110,0.059,0.059,0.108,0.059,102,1.059,1.301,83,2,0,0,0,6,2,65,0,0
2018-08-12,571.3191,139,4.1102,45.3332,2,955,9.4241,122,0.06,0.06,0.11,0.06,111,0.991,1.279,86,6,1,1,1,4,3,77,0,0
2018-08-13,618.2088,160,3.8638,42.6155,0,1272,8.3333,148,0.104,0.104,0.189,0.104,149,1.268,1.549,122,3,0,1,0,2,1,94,0,0
2018-08-14,613.6722,157,3.9087,43.1111,0,1166,9.6055,139,0.133,0.133,0.242,0.133,133,1.82,2.142,113,2,0,0,0,2,1,97,0,0
2018-08-15,730.5757,160,4.5661,50.3614,1,1141,9.2025,149,0.119,0.119,0.217,0.119,138,1.572,1.709,127,5,0,1,2,4,2,99,0,0
2018-08-16,626.0375,156,4.0131,44.2617,3,1327,7.6112,139,0.222,0.222,0.404,0.222,155,2.606,3.544,114,4,0,0,1,4,2,87,0,0
2018-08-17,526.2641,138,3.8135,42.0607,2,1099,8.8262,129,0.057,0.057,0.104,0.057,126,0.825,1.061,98,5,0,1,0,2,1,73,0,0
2018-08-18,490.9132,130,3.7762,41.6499,0,1008,8.5317,108,0.08,0.08,0.146,0.08,106,1.377,1.718,85,6,0,4,1,4,2,71,0,0
2018-08-19,619.5221,149,4.1579,45.8588,0,1222,8.5925,127,0.067,0.067,0.122,0.067,105,1.162,1.488,82,5,0,3,0,0,0,91,0,0
2018-08-20,776.9792,181,4.2927,47.346,6,1283,10.1325,154,0.129,0.129,0.234,0.129,139,1.683,2.089,112,7,0,1,2,2,2,97,0,0
2018-08-21,576.7493,154,3.7451,41.3065,1,1277,8.1441,141,0.056,0.056,0.101,0.056,107,0.944,1.188,85,3,0,1,3,10,5,88,0,0
2018-08-22,524.9135,135,3.8882,42.8851,3,1157,7.9516,126,0.175,0.175,0.319,0.175,94,3.394,4.143,77,3,1,1,0,0,0,79,0,0
