date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,0.6467,2,0.3233,3.3798,0,99,2.0202,2,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-01,9.9341,2,4.9671,51.9206,0,74,1.3514,2,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,3
2018-06-02,26.0463,7,3.7209,38.8945,0,63,6.3492,7,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-03,78.9069,6,13.1511,137.4685,0,85,5.8824,5,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,16
2018-06-04,9.7166,8,1.2146,12.6959,0,94,7.4468,7,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-05,3.2117,2,1.6058,16.7857,0,92,2.1739,2,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-06,10.2966,4,2.5742,26.9075,0,73,4.1096,4,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,4
2018-06-07,0.0,0,,,0,105,0.0,0,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-08,0.115,1,0.115,1.2021,0,87,1.1494,1,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-09,9.5683,2,4.7842,50.0087,1,66,3.0303,2,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,4
2018-06-10,18.0007,2,9.0004,94.0804,0,83,2.4096,2,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
2018-06-11,8.8649,3,2.9549,30.888,0,92,2.1739,3,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,0
