date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-12-13,911.9725,209,4.3635,57.1638,1,1962,5.6575,184,0.212,0.209,0.38,0.209,158,2.405,2.468,154,37,2,4,0,4,3,243,0,104
2018-12-14,546.154,194,2.8152,36.8807,0,2474,5.3355,132,0.166,0.158,0.287,0.158,144,1.993,2.021,142,14,0,0,0,2,2,155,1,62
2018-12-15,205.3398,80,2.5667,33.6255,-1,1479,3.7863,61,0.087,0.087,0.158,0.078,65,2.431,2.548,62,2,0,0,0,2,1,51,0,14
2018-12-16,139.8248,42,3.3292,43.6135,-2,475,4.6316,32,0.015,0.015,0.028,0.012,24,1.167,1.217,23,1,0,0,0,0,0,30,0,11
2018-12-17,103.8276,36,2.8841,37.783,1,512,4.8828,29,0.026,0.026,0.048,0.026,28,1.714,1.778,27,4,0,1,0,0,0,28,0,11
2018-12-18,76.9459,23,3.3455,43.8272,0,476,2.7311,21,0.03,0.03,0.055,0.03,24,2.292,2.895,19,0,0,0,0,0,0,23,0,7
2018-12-19,75.5232,36,2.0979,27.483,0,387,6.9767,24,0.025,0.025,0.046,0.025,14,3.286,3.286,14,1,0,0,0,0,0,25,0,17
2018-12-20,98.536,36,2.7371,35.8574,0,458,4.8035,28,0.014,0.014,0.025,0.014,23,1.087,1.136,22,5,0,0,0,0,0,24,0,19
2018-12-21,110.0853,29,3.7961,49.7298,0,344,4.3605,25,0.013,0.013,0.024,0.013,23,1.043,1.043,23,2,0,1,0,2,3,19,0,7
2018-12-22,91.2183,38,2.4005,31.4474,0,281,12.4555,21,0.015,0.015,0.028,0.015,20,1.4,1.4,20,2,0,0,0,0,0,28,0,5
2018-12-23,56.7189,21,2.7009,35.3829,0,248,6.4516,14,0.012,0.012,0.021,0.012,10,2.1,2.625,8,0,0,0,0,0,0,13,0,5
2018-12-24,20.037,13,1.5413,20.1918,0,158,7.5949,10,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,6,0,4
