date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,68.9749,29,2.3784,32.5814,0,341,4.9853,22,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,8
2018-06-01,114.5023,39,2.936,40.2186,0,299,7.6923,34,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,10
2018-06-02,81.0172,30,2.7006,36.9941,0,223,6.7265,27,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,19
2018-06-03,90.1919,28,3.2211,44.1252,0,271,6.2731,24,0.0,0.0,0.0,0.0,0,,,0,0,0,1,0,0,0,0,1,12
2018-06-04,83.9911,31,2.7094,37.1149,0,275,5.8182,29,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,12
2018-06-05,71.8806,28,2.5672,35.1667,0,190,7.8947,25,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,14
2018-06-06,50.2558,18,2.792,38.2464,0,223,2.6906,14,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,6
2018-06-07,110.3502,41,2.6915,36.8694,0,274,9.1241,35,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,22
2018-06-08,72.4743,29,2.4991,34.2345,0,242,7.0248,22,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,8
2018-06-09,91.8929,33,2.7846,38.1457,0,226,8.4071,26,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,16
2018-06-10,111.3945,47,2.3701,32.4671,0,318,9.7484,38,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,2,26
2018-06-11,74.6881,36,2.0747,28.4201,0,290,8.6207,31,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,4
2018-06-12,79.0263,30,2.6342,36.0851,0,239,6.6946,26,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,2,14
2018-06-13,67.0383,21,3.1923,43.7302,0,204,6.8627,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,1,9
2018-06-14,79.0527,21,3.7644,51.5673,0,181,5.5249,18,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,5
2018-06-15,90.1703,30,3.0057,41.1736,0,231,9.0909,25,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,13
2018-06-16,52.1672,21,2.4842,34.0295,1,206,5.8252,19,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,2,8
2018-06-17,46.1871,23,2.0081,27.5087,0,182,8.7912,20,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,3
2018-06-18,77.6225,28,2.7722,37.9758,0,184,10.3261,21,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,11
2018-06-19,138.3116,36,3.842,52.63,0,235,9.3617,30,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,27
2018-06-20,65.5981,23,2.8521,39.0697,1,226,7.0796,19,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,1,11
2018-06-21,52.5887,25,2.1035,28.8157,0,156,9.6154,20,0.007,0.007,0.013,0.007,20,0.65,0.867,15,0,0,0,0,0,0,0,0,8
2018-06-22,36.2921,14,2.5923,35.5109,0,139,8.6331,14,0.001,0.001,0.003,0.001,8,0.375,0.75,4,0,0,0,0,0,0,0,0,4
2018-06-23,27.5553,14,1.9682,26.9622,0,162,4.321,13,0.004,0.004,0.007,0.004,7,1.0,1.167,6,1,0,1,0,0,0,0,0,6
2018-06-24,57.5488,20,2.8774,39.417,0,165,6.0606,14,0.005,0.005,0.009,0.005,12,0.75,0.9,10,0,0,0,0,0,0,0,0,8
2018-06-25,85.8142,32,2.6817,36.7355,1,166,9.6386,25,0.011,0.011,0.02,0.011,21,0.952,1.176,17,0,0,0,0,0,0,0,0,12
2018-06-26,80.9643,24,3.3735,46.2125,0,160,6.875,21,0.003,0.003,0.005,0.003,21,0.238,0.357,14,0,0,0,0,0,0,0,0,19
2018-06-27,41.5161,11,3.7742,51.7013,0,121,5.7851,11,0.004,0.004,0.007,0.004,5,1.4,1.4,5,1,0,0,0,0,0,0,0,8
2018-06-28,81.2306,22,3.6923,50.5795,0,160,8.125,21,0.005,0.005,0.008,0.005,12,0.667,0.8,10,0,0,0,0,0,0,0,0,14
2018-06-29,84.5396,25,3.3816,46.3231,0,175,9.1429,19,0.012,0.012,0.022,0.012,19,1.158,1.467,15,1,0,0,0,0,0,0,0,14
2018-06-30,49.2657,19,2.5929,35.5196,0,187,5.8824,17,0.018,0.018,0.033,0.018,17,1.941,3.0,11,0,0,0,0,0,0,0,0,4
2018-07-01,79.5042,23,3.4567,47.3521,0,185,7.027,20,0.009,0.009,0.016,0.009,12,1.333,1.778,9,1,0,0,0,0,0,0,0,12
2018-07-02,77.1926,24,3.2164,44.0597,0,197,8.1218,21,0.002,0.002,0.003,0.002,21,0.143,0.188,16,0,0,0,0,0,0,0,2,18
2018-07-03,77.5799,22,3.5264,48.3063,0,175,7.4286,18,0.003,0.003,0.005,0.003,12,0.417,0.385,13,0,0,0,0,0,0,0,1,16
2018-07-04,98.0515,32,3.0641,41.9741,0,171,9.3567,27,0.002,0.002,0.004,0.002,28,0.143,0.235,17,1,0,0,0,0,0,0,1,20
2018-07-05,52.5275,19,2.7646,37.8713,0,141,2.8369,17,0.004,0.004,0.008,0.004,22,0.364,0.533,15,0,0,0,0,0,0,0,1,6
2018-07-06,50.2636,15,3.3509,45.9028,0,116,5.1724,12,0.003,0.003,0.005,0.003,12,0.417,0.5,10,0,0,0,0,0,0,0,1,10
2018-07-07,43.3971,14,3.0998,42.4629,0,136,8.0882,13,0.004,0.004,0.007,0.004,11,0.636,0.875,8,0,0,0,0,0,0,0,0,2
2018-07-08,44.285,17,2.605,35.685,0,194,5.1546,16,0.011,0.011,0.021,0.011,13,1.615,2.625,8,0,0,0,0,0,0,0,0,8
2018-07-09,79.0027,29,2.7242,37.3182,0,189,8.4656,22,0.009,0.009,0.016,0.009,14,1.143,1.333,12,0,0,0,0,0,0,0,0,8
2018-07-10,49.997,20,2.4999,34.2445,0,164,7.9268,18,0.002,0.002,0.003,0.002,23,0.13,0.214,14,0,0,0,0,0,0,0,0,8
2018-07-11,43.2355,21,2.0588,28.2032,0,144,9.7222,16,0.007,0.007,0.012,0.007,12,1.0,1.333,9,0,0,0,0,0,0,0,0,4
2018-07-12,77.9148,30,2.5972,35.5775,0,189,8.4656,26,0.005,0.005,0.009,0.005,18,0.5,0.75,12,0,0,0,0,0,0,0,1,18
2018-07-13,67.936,19,3.5756,48.9806,0,154,9.7403,19,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,8
2018-07-14,83.1502,19,4.3763,59.9497,0,145,5.5172,18,0.001,0.001,0.002,0.001,12,0.167,0.222,9,0,0,0,0,0,0,0,0,12
2018-07-15,81.817,24,3.4091,46.6992,0,147,10.8844,23,0.112,0.112,0.203,0.112,15,13.533,22.556,9,0,0,0,0,0,0,0,0,4
2018-07-16,102.9185,27,3.8118,52.2164,0,144,10.4167,26,0.003,0.003,0.005,0.003,17,0.294,0.417,12,1,0,0,0,0,0,0,1,16
2018-07-17,41.0628,17,2.4155,33.0885,0,168,5.3571,17,0.0,0.0,0.0,0.0,23,0.0,0.0,12,0,0,0,0,0,0,0,0,0
2018-07-18,76.9887,28,2.7496,37.6657,0,112,10.7143,22,0.005,0.005,0.009,0.005,23,0.391,0.6,15,0,0,1,0,0,0,0,1,8
2018-07-19,104.8472,24,4.3686,59.8443,0,155,10.9677,24,0.004,0.004,0.007,0.004,13,0.538,0.7,10,2,0,0,0,0,0,0,0,13
2018-07-20,78.6191,26,3.0238,41.4221,0,170,8.2353,23,0.007,0.007,0.013,0.007,28,0.464,0.765,17,0,0,0,0,0,0,0,0,13
2018-07-21,85.2812,21,4.061,55.6303,0,156,5.7692,20,0.003,0.003,0.006,0.003,9,0.667,0.75,8,0,0,0,0,0,0,0,0,14
2018-07-22,75.9802,24,3.1658,43.3677,0,159,9.434,22,0.008,0.008,0.014,0.008,17,0.824,1.273,11,0,0,0,0,0,0,0,1,14
2018-07-23,96.3684,31,3.1087,42.5844,0,247,8.0972,28,0.015,0.015,0.027,0.015,35,0.771,1.227,22,1,0,1,0,0,0,0,0,12
2018-07-24,40.8081,19,2.1478,29.4218,0,194,6.1856,18,0.003,0.003,0.005,0.003,15,0.333,0.417,12,1,0,0,0,0,0,0,0,8
2018-07-25,91.0449,30,3.0348,41.573,0,194,7.2165,26,0.008,0.008,0.015,0.008,32,0.469,0.714,21,0,0,0,0,0,0,0,0,18
2018-07-26,81.8796,22,3.7218,50.9835,1,198,6.0606,19,0.003,0.003,0.005,0.003,14,0.357,0.5,10,0,0,0,0,0,0,0,0,14
2018-07-27,67.8558,23,2.9502,40.4144,0,183,8.1967,19,0.004,0.004,0.008,0.004,28,0.286,0.444,18,0,0,0,0,0,0,0,0,10
2018-07-28,46.9718,15,3.1315,42.8966,0,146,4.1096,14,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,10
2018-07-29,38.791,16,2.4244,33.2115,0,142,5.6338,16,0.003,0.003,0.005,0.003,20,0.25,0.5,10,0,0,1,0,0,0,0,0,2
2018-07-30,102.6509,38,2.7013,37.0046,0,198,8.5859,31,0.009,0.009,0.016,0.009,25,0.64,0.889,18,2,0,0,0,0,0,0,2,18
2018-07-31,53.0866,13,4.0836,55.9395,0,202,4.4554,11,0.01,0.01,0.018,0.01,12,1.5,1.5,12,0,0,0,0,0,0,0,1,10
2018-08-01,50.0499,20,2.5025,34.2808,0,192,8.3333,20,0.003,0.003,0.006,0.003,16,0.375,0.75,8,0,0,0,0,0,0,0,0,8
2018-08-02,76.2394,42,1.8152,24.8661,0,222,9.9099,32,0.011,0.011,0.02,0.011,26,0.769,1.429,14,1,0,0,0,0,0,0,0,9
2018-08-03,118.5257,24,4.9386,67.6517,0,218,5.9633,22,0.001,0.001,0.002,0.001,10,0.2,0.286,7,1,0,0,0,0,0,0,0,20
2018-08-04,113.1134,27,4.1894,57.3888,1,224,6.6964,27,0.002,0.002,0.004,0.002,12,0.333,0.5,8,3,0,0,0,0,0,0,1,27
2018-08-05,76.2769,26,2.9337,40.1881,0,194,6.1856,22,0.002,0.002,0.003,0.002,15,0.2,0.333,9,0,0,0,0,0,0,0,0,5
2018-08-06,95.8644,33,2.905,39.7943,1,249,8.0321,28,0.004,0.004,0.008,0.004,23,0.348,0.615,13,0,0,0,0,0,0,0,0,16
2018-08-07,111.4747,34,3.2787,44.9132,0,188,10.6383,30,0.12,0.12,0.219,0.12,22,9.955,13.688,16,1,0,0,0,0,0,0,0,15
2018-08-08,70.0453,25,2.8018,38.381,0,163,11.0429,22,0.01,0.01,0.018,0.01,31,0.581,1.125,16,0,0,0,0,0,0,0,0,14
2018-08-09,116.8924,42,2.7832,38.1254,0,199,11.0553,35,0.005,0.005,0.009,0.005,23,0.391,0.5,18,0,0,0,0,0,0,0,1,13
2018-08-10,92.7168,26,3.566,48.8497,0,162,11.1111,23,0.01,0.01,0.018,0.01,21,0.857,1.059,17,2,0,0,0,0,0,0,0,15
2018-08-11,126.444,36,3.5123,48.1141,1,163,10.4294,27,0.033,0.033,0.061,0.033,26,2.346,3.211,19,2,0,1,0,0,0,0,0,29
2018-08-12,48.6501,16,3.0406,41.6524,0,168,7.1429,13,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,8
2018-08-13,59.9286,17,3.5252,48.2906,0,174,5.1724,15,0.004,0.004,0.007,0.004,12,0.583,0.875,8,2,0,0,0,0,0,0,0,14
2018-08-14,109.3057,30,3.6435,49.9113,0,183,7.6503,28,0.004,0.004,0.008,0.004,31,0.258,0.364,22,0,0,0,0,0,0,0,1,18
2018-08-15,110.3466,33,3.3438,45.806,0,187,10.6952,29,0.017,0.017,0.031,0.017,28,1.107,1.722,18,0,0,0,0,0,0,0,0,20
2018-08-16,94.7984,37,2.5621,35.0975,0,184,10.8696,29,0.004,0.004,0.007,0.004,29,0.241,0.35,20,0,1,0,0,0,0,0,0,16
2018-08-17,74.5075,23,3.2394,44.3761,0,165,6.6667,20,0.0,0.0,0.0,0.0,0,,,0,0,-1,0,0,0,0,0,1,13
2018-08-18,62.4207,16,3.9013,53.4424,0,167,4.1916,15,0.003,0.003,0.006,0.003,12,0.5,0.667,9,1,0,0,0,0,0,0,0,12
2018-08-19,62.3386,20,3.1169,42.6976,0,156,8.3333,17,0.011,0.011,0.019,0.011,13,1.462,1.727,11,1,0,0,0,0,0,0,0,9
2018-08-20,111.8046,32,3.4939,47.8615,0,162,11.1111,29,0.007,0.007,0.012,0.007,29,0.414,0.706,17,1,0,0,0,0,0,0,1,20
2018-08-21,74.2694,21,3.5366,48.4471,0,159,8.805,21,0.031,0.031,0.057,0.031,16,3.563,4.385,13,0,0,0,0,0,0,0,0,12
2018-08-22,118.8387,33,3.6012,49.3311,0,191,8.9005,26,0.002,0.002,0.004,0.002,13,0.308,0.4,10,1,0,0,0,0,0,0,0,10
2018-08-23,59.9318,17,3.5254,48.2931,0,151,5.298,15,0.005,0.005,0.008,0.005,26,0.308,0.615,13,1,0,0,0,0,0,0,0,12
2018-08-24,76.4593,31,2.4664,33.7867,0,186,11.2903,27,0.004,0.004,0.007,0.004,12,0.583,0.636,11,0,0,0,0,0,0,0,0,10
2018-08-25,64.2421,15,4.2828,58.6686,0,182,4.3956,15,0.005,0.005,0.009,0.005,7,1.286,1.8,5,0,0,0,0,0,0,0,0,7
2018-08-26,73.6187,20,3.6809,50.4238,0,150,5.3333,16,0.006,0.006,0.011,0.006,9,1.222,1.222,9,1,0,0,0,0,0,0,0,10
2018-08-27,69.9072,23,3.0394,41.6362,0,226,7.5221,21,0.022,0.022,0.041,0.022,6,6.833,6.833,6,0,0,0,0,0,0,0,0,20
2018-08-28,51.9532,19,2.7344,37.4572,0,190,4.7368,16,0.005,0.005,0.009,0.005,22,0.409,0.643,14,0,0,0,0,0,0,0,0,8
2018-08-29,56.9796,22,2.59,35.4792,0,174,7.4713,18,0.006,0.006,0.012,0.006,28,0.429,0.706,17,1,0,0,0,0,0,0,0,0
2018-08-30,76.1574,26,2.9291,40.1251,0,207,6.2802,23,0.01,0.01,0.019,0.01,24,0.792,1.118,17,1,0,0,0,0,0,0,0,12
2018-08-31,51.2976,20,2.5649,35.1354,0,147,6.8027,14,0.0,0.0,0.0,0.0,0,,,0,0,0,1,0,0,0,0,0,8
2018-09-01,60.2602,23,2.62,35.8905,0,137,10.219,20,0.001,0.001,0.002,0.001,15,0.133,0.2,10,0,1,0,0,0,0,0,0,10
2018-09-02,71.5164,23,3.1094,42.5946,0,159,8.805,22,0.005,0.005,0.009,0.005,16,0.563,0.9,10,1,0,0,0,0,0,0,0,14
