date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,297.2339,86,3.4562,41.8934,0,1063,5.7385,78,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,23
2018-06-01,287.3787,107,2.6858,32.5549,0,1034,6.5764,91,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,23
2018-06-02,292.6304,85,3.4427,41.7298,1,851,6.3455,73,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,26
2018-06-03,353.7115,91,3.8869,47.1144,0,882,6.6893,84,0.0,0.0,0.0,0.0,0,,,0,2,1,2,0,0,0,0,0,30
2018-06-04,286.1541,90,3.1795,38.5393,0,848,7.5472,80,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,24
2018-06-05,334.1294,103,3.244,39.3209,2,729,7.5446,80,0.0,0.0,0.0,0.0,0,,,0,2,0,1,0,0,0,0,0,29
2018-06-06,259.703,76,3.4171,41.4199,0,752,6.7819,62,0.0,0.0,0.0,0.0,0,,,0,0,0,0,0,0,0,0,0,24
2018-06-07,307.3447,89,3.4533,41.8583,0,799,7.2591,76,0.0,0.0,0.0,0.0,0,,,0,4,0,0,0,0,0,0,0,27
2018-06-08,321.8088,89,3.6158,43.8282,1,694,6.9164,77,0.0,0.0,0.0,0.0,0,,,0,2,0,1,0,0,0,0,0,26
2018-06-09,269.7819,70,3.854,46.7155,0,661,5.295,55,0.0,0.0,0.0,0.0,0,,,0,1,0,1,0,0,0,0,0,27
2018-06-10,337.9389,87,3.8843,47.0831,1,856,5.3738,78,0.0,0.0,0.0,0.0,0,,,0,7,0,0,0,0,0,0,1,44
2018-06-11,276.7403,86,3.2179,39.005,1,758,6.9921,71,0.0,0.0,0.0,0.0,0,,,0,3,0,0,0,0,0,0,1,28
2018-06-12,349.2103,95,3.6759,44.5563,1,760,8.1579,86,0.0,0.0,0.0,0.0,0,,,0,6,0,2,0,0,0,0,0,28
2018-06-13,312.9706,88,3.5565,43.1089,0,828,6.401,75,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,20
2018-06-14,294.2429,98,3.0025,36.3937,0,845,7.4556,79,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,1,25
2018-06-15,293.0393,84,3.4886,42.2856,1,736,8.0163,76,0.0,0.0,0.0,0.0,0,,,0,4,0,2,0,0,0,0,0,28
2018-06-16,284.4355,75,3.7925,45.9694,0,707,7.0721,64,0.0,0.0,0.0,0.0,0,,,0,1,0,1,0,0,0,0,0,36
2018-06-17,262.7436,76,3.4571,41.9049,0,633,8.6888,63,0.0,0.0,0.0,0.0,0,,,0,2,0,0,0,0,0,0,0,17
2018-06-18,301.7873,68,4.4381,53.7945,0,723,5.5325,57,0.0,0.0,0.0,0.0,0,,,0,1,0,1,0,0,0,0,0,23
2018-06-19,359.7402,77,4.6719,56.6297,0,738,7.7236,66,0.0,0.0,0.0,0.0,0,,,0,4,0,1,0,0,0,0,0,31
2018-06-20,216.2317,73,2.9621,35.904,0,739,6.3599,64,0.0,0.0,0.0,0.0,0,,,0,1,0,0,0,0,0,0,0,11
2018-06-21,160.1296,51,3.1398,38.0581,1,750,4.9333,43,0.041,0.041,0.075,0.041,46,1.63,2.273,33,0,0,0,0,0,0,0,1,17
2018-06-22,267.5572,77,3.4748,42.1184,0,718,7.6602,63,0.041,0.041,0.075,0.041,66,1.136,1.471,51,1,0,3,0,0,0,0,0,17
2018-06-23,208.5821,60,3.4764,42.1378,0,700,5.8571,54,0.014,0.014,0.026,0.014,41,0.634,0.839,31,1,0,0,0,0,0,0,0,25
2018-06-24,208.8617,69,3.027,36.6907,2,717,5.4393,53,0.021,0.021,0.038,0.021,48,0.792,1.152,33,5,0,0,0,0,0,0,0,18
2018-06-25,287.2767,72,3.9899,48.3631,0,572,7.3427,60,0.098,0.098,0.178,0.098,58,3.069,3.423,52,3,0,1,0,0,0,0,0,24
2018-06-26,303.8408,75,4.0512,49.1056,0,450,9.7778,68,0.042,0.042,0.076,0.042,79,0.962,1.267,60,2,0,0,0,0,0,0,0,26
2018-06-27,131.4863,41,3.207,38.8725,0,445,4.4944,38,0.004,0.004,0.006,0.004,35,0.171,0.214,28,0,0,0,0,0,0,0,0,6
2018-06-28,210.1757,68,3.0908,37.4645,0,474,9.0717,58,0.031,0.031,0.056,0.031,55,1.018,1.333,42,3,0,0,0,0,0,0,0,23
2018-06-29,265.9984,70,3.8,46.0603,0,533,10.1313,66,0.077,0.077,0.14,0.077,64,2.188,2.456,57,1,0,0,0,0,0,0,0,24
2018-06-30,182.5908,53,3.4451,41.7589,1,517,6.1896,48,0.032,0.032,0.058,0.032,35,1.657,1.933,30,1,0,1,0,0,0,0,0,20
2018-07-01,334.7258,92,3.6383,44.1009,1,667,9.8951,77,0.011,0.011,0.02,0.011,49,0.408,0.556,36,3,1,1,0,0,0,0,2,33
2018-07-02,326.8695,77,4.2451,51.4553,0,646,7.4303,71,0.03,0.03,0.055,0.03,66,0.833,1.122,49,3,0,0,0,0,0,0,0,29
2018-07-03,308.2036,82,3.7586,45.5586,0,609,8.5386,70,0.06,0.06,0.11,0.06,61,1.803,2.157,51,0,0,0,0,0,0,0,0,27
2018-07-04,350.4976,91,3.8516,46.6863,0,645,8.2171,79,0.056,0.056,0.103,0.056,69,1.493,2.191,47,0,0,0,0,0,0,0,0,38
2018-07-05,332.5458,78,4.2634,51.6777,0,689,6.8215,69,0.018,0.018,0.032,0.018,49,0.653,0.8,40,0,0,0,0,0,0,0,0,33
2018-07-06,253.7137,83,3.0568,37.052,0,598,9.5318,71,0.02,0.02,0.037,0.02,49,0.755,1.0,37,2,0,0,0,0,0,0,0,22
2018-07-07,265.6775,78,3.4061,41.2863,1,527,9.6774,67,0.07,0.07,0.128,0.07,52,2.462,3.459,37,1,0,0,0,0,0,0,0,16
2018-07-08,298.8584,85,3.516,42.618,1,626,9.2652,73,0.014,0.014,0.026,0.014,75,0.347,0.65,40,3,0,0,0,0,0,0,1,30
2018-07-09,360.7914,94,3.8382,46.5237,0,705,7.5177,81,0.036,0.036,0.066,0.036,81,0.815,1.375,48,2,0,0,0,0,0,0,0,36
2018-07-10,297.9018,94,3.1692,38.4142,1,742,8.3558,72,0.045,0.045,0.082,0.045,69,1.188,1.907,43,0,0,0,0,0,0,0,0,19
2018-07-11,344.9183,95,3.6307,44.0087,0,700,8.5714,81,0.03,0.03,0.055,0.03,76,0.724,1.0,55,1,0,0,0,0,0,0,0,36
2018-07-12,278.201,74,3.7595,45.5694,1,754,7.4271,61,0.04,0.04,0.072,0.04,57,1.263,2.0,36,2,0,0,0,0,0,0,0,26
2018-07-13,441.986,98,4.5101,54.6674,0,694,9.5101,90,0.029,0.029,0.053,0.029,84,0.631,0.914,58,3,0,0,0,0,0,0,0,45
2018-07-14,207.7111,61,3.4051,41.2739,0,600,6.6667,59,0.028,0.028,0.051,0.028,46,1.109,1.545,33,0,0,0,0,0,0,0,0,13
2018-07-15,205.7131,58,3.5468,42.9912,0,612,5.2288,51,0.011,0.011,0.019,0.011,42,0.452,0.613,31,2,0,2,0,0,0,0,0,18
2018-07-16,398.4263,103,3.8682,46.8875,3,688,9.0116,85,0.025,0.025,0.046,0.025,68,0.676,1.07,43,1,0,0,0,0,0,0,1,46
2018-07-17,275.0346,75,3.6671,44.45,0,697,6.5997,69,0.032,0.032,0.058,0.032,58,1.0,1.349,43,2,0,1,0,0,0,0,0,23
2018-07-18,359.8254,92,3.9112,47.4078,0,744,8.1989,76,0.052,0.052,0.095,0.052,73,1.301,1.667,57,4,0,0,0,0,0,0,1,37
