date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr,estimated_unique_viewers,estimated_partner_revenue,estimated_partner_ad_revenue,youtube_ad_revenue,estimated_partner_adsense_revenue,ad_impressions,cpm,playback_based_cpm,estimated_monetized_playbacks,likes,dislikes,shares,card_clicks,cards_shown,card_teaser_clicks,card_teasers_shown,end_screen_element_clicks,end_screen_elements_shown
2018-05-31,825.8785,181,4.5629,48.8007,2,1520,8.2237,165,0.0,0.0,0.0,0.0,0,,,0,5,0,2,0,0,0,0,0,47
2018-06-01,570.3075,135,4.2245,45.1818,0,1358,6.4065,119,0.0,0.0,0.0,0.0,0,,,0,3,0,3,0,0,0,0,0,40
2018-06-02,822.6239,173,4.755,50.8562,0,1399,8.649,163,0.0,0.0,0.0,0.0,0,,,0,4,0,2,0,0,0,0,1,55
2018-06-03,1429.6769,321,4.4538,47.6345,0,2605,7.524,277,0.0,0.0,0.0,0.0,0,,,0,8,0,1,0,0,0,0,0,104
2018-06-04,2427.0463,521,4.6584,49.8229,6,3776,8.7394,466,0.0,0.0,0.0,0.0,0,,,0,13,0,5,0,0,0,0,1,176
2018-06-05,2268.2424,531,4.2716,45.686,1,4710,7.9406,462,0.0,0.0,0.0,0.0,0,,,0,7,0,4,0,0,0,0,2,166
2018-06-06,2117.4751,480,4.4114,47.1808,1,3857,8.2707,423,0.0,0.0,0.0,0.0,0,,,0,5,0,2,0,0,0,0,1,160
2018-06-07,2064.2834,475,4.3459,46.4798,3,4035,8.2528,445,0.0,0.0,0.0,0.0,0,,,0,11,0,1,0,0,0,0,0,117
2018-06-08,2580.2399,527,4.8961,52.3646,1,4511,7.8697,479,0.0,0.0,0.0,0.0,0,,,0,15,1,2,0,0,0,0,0,170
2018-06-09,2426.1278,519,4.6746,49.9959,0,4856,7.1664,470,0.0,0.0,0.0,0.0,0,,,0,24,0,3,0,0,0,0,2,190
2018-06-10,1367.2536,307,4.4536,47.632,2,2875,6.7826,284,0.0,0.0,0.0,0.0,0,,,0,9,0,1,0,0,0,0,1,90
2018-06-11,594.6744,126,4.7196,50.4774,1,1676,5.1909,121,0.0,0.0,0.0,0.0,0,,,0,2,0,3,0,0,0,0,1,38
2018-06-12,426.9555,118,3.6183,38.698,1,1142,6.3047,106,0.0,0.0,0.0,0.0,0,,,0,3,0,1,0,0,0,0,0,29
2018-06-13,974.8934,218,4.472,47.8288,1,1769,8.5924,190,0.0,0.0,0.0,0.0,0,,,0,6,0,3,0,0,0,0,0,63
2018-06-14,2092.6689,450,4.6504,49.7366,4,4103,7.4336,415,0.0,0.0,0.0,0.0,0,,,0,8,0,5,0,0,0,0,0,144
2018-06-15,3419.0447,748,4.5709,48.8868,6,6281,8.47,675,0.0,0.0,0.0,0.0,0,,,0,23,1,5,0,0,0,0,0,252
2018-06-16,4642.2848,989,4.6939,50.2023,4,8584,8.0266,911,0.0,0.0,0.0,0.0,0,,,0,37,0,6,0,0,0,0,7,358
2018-06-17,3621.532,803,4.51,48.2353,4,8004,6.909,743,0.0,0.0,0.0,0.0,0,,,0,17,0,6,0,0,0,0,1,213
2018-06-18,3275.4746,730,4.4869,47.9888,3,6799,7.3393,671,0.0,0.0,0.0,0.0,0,,,0,19,0,8,0,0,0,0,5,222
2018-06-19,1949.6852,433,4.5027,48.1576,3,5568,5.5316,391,0.0,0.0,0.0,0.0,0,,,0,8,1,4,0,0,0,0,3,147
2018-06-20,1122.9397,257,4.3694,46.7317,2,3607,4.5744,223,0.022,0.022,0.04,0.022,3,13.333,13.333,3,8,0,3,0,0,0,0,2,87
